Date,High,Low,Open,Close,Volume,Adj Close
2017-12-15,22745.08984375,22478.3203125,22621.359375,22553.220703125,99400000.0,22553.220703125
2017-12-18,22927.5,22735.19921875,22770.439453125,22901.76953125,85200000.0,22901.76953125
2017-12-19,22990.419921875,22862.8203125,22961.470703125,22868.0,70500000.0,22868.0
2017-12-20,22923.5,22806.73046875,22834.9296875,22891.720703125,92400000.0,22891.720703125
2017-12-21,22894.94921875,22728.060546875,22852.009765625,22866.099609375,73000000.0,22866.099609375
2017-12-22,22908.83984375,22801.16015625,22850.73046875,22902.759765625,77800000.0,22902.759765625
2017-12-25,22948.830078125,22870.189453125,22909.41015625,22939.1796875,0.0,22939.1796875
2017-12-26,22950.150390625,22877.630859375,22922.94921875,22892.689453125,46400000.0,22892.689453125
2017-12-27,22936.16015625,22854.390625,22854.390625,22911.2109375,47200000.0,22911.2109375
2017-12-28,22954.44921875,22736.4296875,22912.05078125,22783.98046875,50300000.0,22783.98046875
2017-12-29,22881.2109375,22753.19921875,22831.490234375,22764.939453125,46500000.0,22764.939453125
2018-01-04,23506.330078125,23065.19921875,23073.73046875,23506.330078125,102200000.0,23506.330078125
2018-01-05,23730.470703125,23520.51953125,23643.0,23714.529296875,101900000.0,23714.529296875
2018-01-09,23952.609375,23789.029296875,23948.970703125,23849.990234375,94100000.0,23849.990234375
2018-01-10,23864.759765625,23755.44921875,23832.810546875,23788.19921875,88800000.0,23788.19921875
2018-01-11,23734.970703125,23601.83984375,23656.390625,23710.4296875,83700000.0,23710.4296875
2018-01-12,23743.05078125,23588.0703125,23719.66015625,23653.8203125,93700000.0,23653.8203125
2018-01-15,23833.26953125,23685.01953125,23827.98046875,23714.880859375,75400000.0,23714.880859375
2018-01-16,23962.0703125,23701.830078125,23721.169921875,23951.810546875,68500000.0,23951.810546875
2018-01-17,23891.630859375,23739.169921875,23783.419921875,23868.33984375,82200000.0,23868.33984375
2018-01-18,24084.419921875,23699.470703125,24078.9296875,23763.369140625,99400000.0,23763.369140625
2018-01-19,23872.689453125,23735.609375,23854.109375,23808.060546875,71800000.0,23808.060546875
2018-01-22,23816.330078125,23697.810546875,23797.83984375,23816.330078125,65200000.0,23816.330078125
2018-01-23,24129.33984375,23916.01953125,23924.400390625,24124.150390625,73400000.0,24124.150390625
2018-01-24,24072.76953125,23917.140625,24026.4296875,23940.779296875,79900000.0,23940.779296875
2018-01-25,23828.400390625,23649.029296875,23750.650390625,23669.490234375,81500000.0,23669.490234375
2018-01-26,23797.9609375,23592.279296875,23757.33984375,23631.880859375,87200000.0,23631.880859375
2018-01-29,23787.23046875,23580.169921875,23707.140625,23629.33984375,68800000.0,23629.33984375
2018-01-30,23581.98046875,23233.369140625,23559.330078125,23291.970703125,88800000.0,23291.970703125
